       D_1      total
    0.1624     0.1624
    0.1624     0.1624
    0.2030     0.2030
    0.1726     0.1726
    0.1827     0.1827
    0.2284     0.2284
    0.1726     0.1726
    0.2183     0.2183
    0.1929     0.1929
    0.1980     0.1980
    0.1472     0.1472
    0.1777     0.1777
    0.1929     0.1929
    0.2183     0.2183
    0.1320     0.1320
    0.1624     0.1624
    0.1929     0.1929
    0.1827     0.1827
    0.1320     0.1320
    0.1878     0.1878
    0.2284     0.2284
    0.1624     0.1624
    0.1726     0.1726
    0.1523     0.1523
    0.2386     0.2386
    0.1777     0.1777
    0.1675     0.1675
    0.2030     0.2030
    0.1726     0.1726
    0.2234     0.2234
    0.1168     0.1168
    0.1269     0.1269
    0.2081     0.2081
    0.1726     0.1726
    0.1421     0.1421
    0.1675     0.1675
    0.2183     0.2183
    0.2234     0.2234
    0.1472     0.1472
    0.1777     0.1777
    0.1371     0.1371
    0.2386     0.2386
    0.1929     0.1929
    0.1980     0.1980
    0.1523     0.1523
    0.1726     0.1726
    0.2589     0.2589
    0.1523     0.1523
    0.1777     0.1777
    0.2132     0.2132
    0.2690     0.2690
    0.1371     0.1371
    0.1980     0.1980
    0.2284     0.2284
    0.1675     0.1675
    0.1168     0.1168
    0.1929     0.1929
    0.1777     0.1777
    0.1827     0.1827
    0.1371     0.1371
    0.2234     0.2234
    0.1624     0.1624
    0.1675     0.1675
    0.1624     0.1624
    0.1218     0.1218
    0.1878     0.1878
    0.1624     0.1624
    0.1878     0.1878
    0.2030     0.2030
    0.2335     0.2335
    0.1117     0.1117
    0.1574     0.1574
    0.2183     0.2183
    0.2234     0.2234
    0.1574     0.1574
    0.1827     0.1827
    0.2538     0.2538
    0.1624     0.1624
    0.2538     0.2538
    0.1929     0.1929
    0.1777     0.1777
    0.1980     0.1980
    0.1472     0.1472
    0.2234     0.2234
    0.2437     0.2437
    0.1726     0.1726
    0.1777     0.1777
    0.1472     0.1472
    0.1269     0.1269
    0.1624     0.1624
    0.1726     0.1726
    0.2183     0.2183
    0.2386     0.2386
    0.1675     0.1675
    0.2284     0.2284
    0.1878     0.1878
    0.2234     0.2234
    0.2284     0.2284
    0.1878     0.1878
    0.2386     0.2386
    0.1523     0.1523
    0.1421     0.1421
    0.1675     0.1675
    0.1624     0.1624
    0.1777     0.1777
    0.1523     0.1523
    0.1523     0.1523
    0.1523     0.1523
    0.1878     0.1878
    0.1777     0.1777
    0.0914     0.0914
    0.1878     0.1878
    0.1117     0.1117
    0.1269     0.1269
    0.1980     0.1980
    0.1574     0.1574
    0.2234     0.2234
    0.1015     0.1015
    0.2183     0.2183
    0.0812     0.0812
    0.1066     0.1066
    0.1675     0.1675
    0.1675     0.1675
    0.2538     0.2538
    0.1624     0.1624
    0.1523     0.1523
    0.2792     0.2792
    0.1218     0.1218
    0.2030     0.2030
    0.1726     0.1726
    0.1574     0.1574
    0.1777     0.1777
    0.2132     0.2132
    0.1675     0.1675
    0.1472     0.1472
    0.2183     0.2183
    0.1777     0.1777
    0.2081     0.2081
    0.2030     0.2030
    0.1777     0.1777
    0.2234     0.2234
    0.1726     0.1726
    0.2234     0.2234
    0.1929     0.1929
    0.1624     0.1624
    0.2030     0.2030
    0.1675     0.1675
    0.1726     0.1726
    0.1878     0.1878
    0.1574     0.1574
    0.1980     0.1980
    0.2284     0.2284
    0.1675     0.1675
    0.1675     0.1675
    0.1929     0.1929
    0.2183     0.2183
    0.1066     0.1066
    0.1929     0.1929
    0.1980     0.1980
    0.1675     0.1675
    0.2437     0.2437
    0.2284     0.2284
    0.1320     0.1320
    0.1168     0.1168
    0.1472     0.1472
    0.2081     0.2081
    0.1624     0.1624
    0.1472     0.1472
    0.1574     0.1574
    0.2030     0.2030
    0.2234     0.2234
    0.1827     0.1827
    0.1624     0.1624
    0.1371     0.1371
    0.1320     0.1320
    0.1827     0.1827
    0.2132     0.2132
    0.1218     0.1218
    0.1574     0.1574
    0.1421     0.1421
    0.2030     0.2030
    0.2081     0.2081
    0.1523     0.1523
    0.1777     0.1777
    0.1777     0.1777
    0.1675     0.1675
    0.1015     0.1015
    0.1574     0.1574
    0.1675     0.1675
    0.1574     0.1574
    0.1421     0.1421
    0.1269     0.1269
    0.1574     0.1574
    0.1472     0.1472
    0.1320     0.1320
    0.1320     0.1320
    0.1929     0.1929
    0.1574     0.1574
    0.2589     0.2589
    0.1168     0.1168
    0.1421     0.1421
    0.2132     0.2132
    0.1624     0.1624
    0.2081     0.2081
    0.1624     0.1624
    0.1472     0.1472
    0.1980     0.1980
    0.1675     0.1675
    0.1523     0.1523
    0.1929     0.1929
    0.2234     0.2234
    0.2030     0.2030
    0.1827     0.1827
